5.275	4.893
5.339	4.476
4.887	4.234
5.895	4.843
4.429	4.915
4.879	4.734
5.337	5.165
4.187	5.664
4.788	5.496
5.075	5.229
5.045	4.578
5.570	6.004
5.509	4.815
5.268	4.846
5.656	5.195
5.657	5.809
4.824	4.729
4.874	5.452
5.436	5.806
5.133	5.026
4.886	5.495
4.630	5.080
5.100	4.752
5.697	4.903
4.631	5.321
5.057	4.862
4.747	5.226
4.696	5.257
4.776	5.266
4.504	4.285
5.026	5.602
5.217	4.867
4.564	4.665
5.391	5.244
5.569	5.303
4.809	5.561
4.848	4.870
5.327	4.638
5.303	4.869
5.098	4.229
4.838	4.898
4.578	5.025
4.926	5.176
5.563	4.896
4.829	4.995
4.894	4.799
4.770	5.202
4.880	4.922
5.515	4.189
4.228	5.277
4.617	4.866
4.451	4.679
4.941	5.800
4.675	4.471
4.597	5.106
4.940	5.319
5.390	4.716
5.066	5.162
4.583	5.275
4.672	5.038
5.196	4.650
5.270	5.597
5.296	5.221
5.593	5.661
4.508	5.024
5.206	5.383
4.827	5.033
3.957	5.346
4.981	5.307
6.013	5.096
4.946	4.081
5.409	4.841
5.427	4.717
5.471	4.748
4.875	5.103
5.433	5.330
4.664	4.792
5.474	5.464
5.272	4.954
4.984	5.417
4.468	5.027
5.288	4.782
5.068	5.474
5.476	5.492
4.668	5.422
4.871	5.186
4.317	5.262
4.264	4.189
5.538	5.058
5.631	4.427
5.733	4.403
4.488	4.877
4.912	4.679
5.400	5.264
4.733	4.691
5.299	5.611
5.075	4.574
6.149	4.746
5.101	4.838
4.115	5.301
